gml_id,ust_katego,alt_katego,ad,geojson
bursa_dinitesis.39,DİNİ TESİSLER,CAMİ,KARACALAR MH.CAMİ,"{""type"":""Point"",""coordinates"":[28.620049906,39.955920465]}"
bursa_dinitesis.40,DİNİ TESİSLER,CAMİ,KARAOĞLANLAR MH.CAMİ,"{""type"":""Point"",""coordinates"":[28.976277577,39.841626498]}"
bursa_dinitesis.41,DİNİ TESİSLER,CAMİ,KARAORMAN MH.CAMİ,"{""type"":""Point"",""coordinates"":[28.455320639,39.975791508]}"
bursa_dinitesis.42,DİNİ TESİSLER,CAMİ,KARAPINAR MH.YK.CAMİ,"{""type"":""Point"",""coordinates"":[28.32191073,39.962993555]}"
bursa_dinitesis.43,DİNİ TESİSLER,CAMİ,KAYABAŞI MH.CAMİ,"{""type"":""Point"",""coordinates"":[28.372334382,39.992335224]}"
bursa_dinitesis.44,DİNİ TESİSLER,CAMİ,KELTAŞ MH.CAMİ,"{""type"":""Point"",""coordinates"":[28.455993802,40.014982468]}"
bursa_dinitesis.45,DİNİ TESİSLER,CAMİ,KESTELEK MH.CAMİ,"{""type"":""Point"",""coordinates"":[28.569857908,39.955736841]}"
bursa_dinitesis.46,DİNİ TESİSLER,CAMİ,KOCAKORU MH.CAMİ,"{""type"":""Point"",""coordinates"":[28.66227359,40.038636098]}"
bursa_dinitesis.47,DİNİ TESİSLER,CAMİ,KOSOVA MH.CAMİ,"{""type"":""Point"",""coordinates"":[28.26022514,40.014430232]}"
bursa_dinitesis.48,DİNİ TESİSLER,CAMİ,KÖMÜRCÜKADI MH.CAMİ,"{""type"":""Point"",""coordinates"":[28.460660012,39.943137511]}"
bursa_dinitesis.49,DİNİ TESİSLER,CAMİ,KÖREKEM MH.CAMİ,"{""type"":""Point"",""coordinates"":[28.647218965,40.063945678]}"
bursa_dinitesis.50,DİNİ TESİSLER,CAMİ,KUMKADI MH.CAMİ,"{""type"":""Point"",""coordinates"":[28.464779458,40.155872424]}"
bursa_dinitesis.51,DİNİ TESİSLER,CAMİ,KURAN KURSU CAMİ,"{""type"":""Point"",""coordinates"":[28.401219875,40.038121345]}"
bursa_dinitesis.52,DİNİ TESİSLER,CAMİ,KURŞUNLU MH.CAMİ,"{""type"":""Point"",""coordinates"":[28.607547169,39.863997707]}"
bursa_dinitesis.53,DİNİ TESİSLER,CAMİ,LALAŞAHİN CAMİ,"{""type"":""Point"",""coordinates"":[28.414649957,40.033840916]}"
bursa_dinitesis.54,DİNİ TESİSLER,CAMİ,LALAŞAHİN MH. YENİ CAMİ,"{""type"":""Point"",""coordinates"":[28.419956421,40.032312658]}"
bursa_dinitesis.55,DİNİ TESİSLER,CAMİ,MURADİYESARNIÇ MH.CAMİ,"{""type"":""Point"",""coordinates"":[28.392553561,39.93149746]}"
bursa_dinitesis.56,DİNİ TESİSLER,CAMİ,OCAKLI MH.CAMİ,"{""type"":""Point"",""coordinates"":[28.29414554,40.050035552]}"
bursa_dinitesis.57,DİNİ TESİSLER,CAMİ,ONAÇ MH.CAMİ,"{""type"":""Point"",""coordinates"":[28.614752478,40.099920243]}"
bursa_dinitesis.58,DİNİ TESİSLER,CAMİ,LÜTFİYE MH.CAMİ,"{""type"":""Point"",""coordinates"":[28.414361994,39.995374311]}"
bursa_dinitesis.59,DİNİ TESİSLER,CAMİ,ARMUTÇUK MH.CAMİ,"{""type"":""Point"",""coordinates"":[28.888308609,39.795064897]}"
bursa_dinitesis.60,DİNİ TESİSLER,CAMİ,BADEMLİK MH.CAMİ,"{""type"":""Point"",""coordinates"":[28.852788265,39.640700247]}"
bursa_dinitesis.61,DİNİ TESİSLER,CAMİ,BALABAN MH.CAMİ,"{""type"":""Point"",""coordinates"":[28.934485105,39.767225691]}"
bursa_dinitesis.62,DİNİ TESİSLER,CAMİ,BAYINDIR MH.CAMİ,"{""type"":""Point"",""coordinates"":[28.77587302,39.722164676]}"
bursa_dinitesis.63,DİNİ TESİSLER,CAMİ,ÇAKIRYENİCE MH.CAMİ,"{""type"":""Point"",""coordinates"":[28.887739252,39.847401125]}"
bursa_dinitesis.64,DİNİ TESİSLER,CAMİ,DANAÇALI MH.CAMİ,"{""type"":""Point"",""coordinates"":[28.780486577,39.759264805]}"
bursa_dinitesis.65,DİNİ TESİSLER,CAMİ,DEMİRLER MH.AŞĞ.CAMİ,"{""type"":""Point"",""coordinates"":[28.834619732,39.638831342]}"
bursa_dinitesis.66,DİNİ TESİSLER,CAMİ,DERECİK MH.CAMİ,"{""type"":""Point"",""coordinates"":[28.923230546,39.758221716]}"
bursa_dinitesis.67,DİNİ TESİSLER,CAMİ,DURHASAN MH.MERKEZ CAMİ,"{""type"":""Point"",""coordinates"":[28.888809956,39.830085803]}"
bursa_dinitesis.68,DİNİ TESİSLER,CAMİ,DURHASAN MH.YK.CAMİ,"{""type"":""Point"",""coordinates"":[28.88723833,39.830322814]}"
bursa_dinitesis.69,DİNİ TESİSLER,CAMİ,GEDİKLER MH.CAMİ,"{""type"":""Point"",""coordinates"":[29.013350247,39.72461291]}"
bursa_dinitesis.70,DİNİ TESİSLER,CAMİ,GEDİKLER MH.SOFULAR CAMİ,"{""type"":""Point"",""coordinates"":[29.009352242,39.72340703]}"
bursa_dinitesis.71,DİNİ TESİSLER,CAMİ,GEYNİK MH.CAMİ,"{""type"":""Point"",""coordinates"":[28.803034393,39.70653965]}"
bursa_dinitesis.72,DİNİ TESİSLER,CAMİ,HACILAR MH.CAMİ,"{""type"":""Point"",""coordinates"":[28.918888601,39.765416506]}"
bursa_dinitesis.73,DİNİ TESİSLER,CAMİ,HEMŞERİLER MH.CAMİ,"{""type"":""Point"",""coordinates"":[28.918992093,39.739387906]}"
bursa_dinitesis.74,DİNİ TESİSLER,CAMİ,KARAÇUKUR MH.CAMİ,"{""type"":""Point"",""coordinates"":[28.807179898,39.729875086]}"
bursa_dinitesis.75,DİNİ TESİSLER,CAMİ,KARALAR MH.CAMİ,"{""type"":""Point"",""coordinates"":[28.845470537,39.695136752]}"
bursa_dinitesis.76,DİNİ TESİSLER,CAMİ,KINIK MH.HACILAR CAMİ,"{""type"":""Point"",""coordinates"":[28.938555102,39.703243073]}"
bursa_dinitesis.77,DİNİ TESİSLER,CAMİ,KINIK MH.SEYİTLER CAMİ,"{""type"":""Point"",""coordinates"":[28.935666984,39.706592179]}"
bursa_dinitesis.78,DİNİ TESİSLER,CAMİ,KINIK MH.TAŞBAŞI CAMİ,"{""type"":""Point"",""coordinates"":[28.935098582,39.707430235]}"
bursa_dinitesis.79,DİNİ TESİSLER,CAMİ,ORHAN-I KEBİR CAMİ,"{""type"":""Point"",""coordinates"":[28.887174198,39.771703936]}"
bursa_dinitesis.80,DİNİ TESİSLER,CAMİ,ÖZLÜCE MH.CAMİ,"{""type"":""Point"",""coordinates"":[28.929912835,39.813971032]}"
bursa_dinitesis.81,DİNİ TESİSLER,CAMİ,PERÇİN MH.CAMİ,"{""type"":""Point"",""coordinates"":[28.991058917,39.740598976]}"
bursa_dinitesis.82,DİNİ TESİSLER,CAMİ,PINAR MH.CAMİ,"{""type"":""Point"",""coordinates"":[28.969251965,39.729275578]}"
bursa_dinitesis.83,DİNİ TESİSLER,CAMİ,PİRİBEYLER MH.İSTASYON CAMİ,"{""type"":""Point"",""coordinates"":[28.796578545,39.628516652]}"
bursa_dinitesis.84,DİNİ TESİSLER,CAMİ,YENİ CAMİ,"{""type"":""Point"",""coordinates"":[28.885885289,39.774298801]}"
bursa_dinitesis.85,DİNİ TESİSLER,CAMİ,ZAFERİYE MH.CAMİ,"{""type"":""Point"",""coordinates"":[28.819285504,39.75375871]}"
bursa_dinitesis.86,DİNİ TESİSLER,CAMİ,ZAFERİYE MH.KARŞI CAMİ,"{""type"":""Point"",""coordinates"":[28.826051611,39.756123265]}"
bursa_dinitesis.87,DİNİ TESİSLER,CAMİ,İLÇE MÜFTÜLÜĞÜ,"{""type"":""Point"",""coordinates"":[29.156688259,40.429273266]}"
bursa_dinitesis.88,DİNİ TESİSLER,CAMİ,ADLİYE MH.CAMİ,"{""type"":""Point"",""coordinates"":[29.204265943,40.387972951]}"
bursa_dinitesis.89,DİNİ TESİSLER,CAMİ,ATA MH.CAMİ,"{""type"":""Point"",""coordinates"":[29.136905903,40.419432804]}"
bursa_dinitesis.90,DİNİ TESİSLER,CAMİ,BÜYÜK KUMLA MH.CAMİ,"{""type"":""Point"",""coordinates"":[29.085019657,40.479634388]}"
bursa_dinitesis.91,DİNİ TESİSLER,CAMİ,CİHATLI MH.CAMİ,"{""type"":""Point"",""coordinates"":[29.199578954,40.439458614]}"
bursa_dinitesis.92,DİNİ TESİSLER,CAMİ,EMETULLAH CAMİ,"{""type"":""Point"",""coordinates"":[29.156917657,40.434881473]}"
bursa_dinitesis.93,DİNİ TESİSLER,CAMİ,EŞREF DİNÇER MH. MEVLANA CAMİ,"{""type"":""Point"",""coordinates"":[29.177280523,40.433855381]}"
bursa_dinitesis.94,DİNİ TESİSLER,CAMİ,FEVZİYE MH.CAMİ,"{""type"":""Point"",""coordinates"":[29.280660932,40.356226525]}"
bursa_dinitesis.95,DİNİ TESİSLER,CAMİ,FINDICAK MH.CAMİ,"{""type"":""Point"",""coordinates"":[29.339690292,40.33988111]}"
